year,old name,old code,new name,new code,change type
1980-1981,安次县,NA,廊坊市,132801,+
1980-1981,"..,铁岭县,法库县",NA,铁法市,212102,+
1980-1981,"徐汇区,上海县",NA,闵行区,310112,+
1980-1981,嘉兴县,332121,嘉兴市,NA,-
1980-1981,吴兴县,332128,湖州市,NA,-
1980-1981,绍兴县,332321,绍兴市,NA,-
1980-1981,金华县,332521,金华市,NA,-
1980-1981,衢县,332528,衢州市,NA,-
1980-1981,龙岩县,352721,龙岩市,NA,-
1980-1981,龙岩县,NA,龙岩市,352701,+
1980-1981,"安义县,永修县",360105,湾里区,NA,=
1980-1981,恩施县,NA,恩施市,422801,+
1980-1981,岳阳县,432221,岳阳市,NA,-
1980-1981,来宾县,NA,合山市,452201,+
1980-1981,昭通县,NA,昭通市,532101,+
1980-1981,开远县,532521,开远市,NA,-
1980-1981,开远县,NA,开远市,532502,+
1980-1981,永昌县,NA,金昌市,620300,+
1980-1981,永昌县,622325,"#,金昌市",NA,-
1981-1982,"交河县,南皮县",NA,泊头市,132905,+
1981-1982,衡水县,NA,衡水市,133001,+
1981-1982,锦西县,NA,南票区,210704,+
1981-1982,锦西县,NA,葫芦岛区,210705,+
1981-1982,绥化县,232123,绥化市,NA,-
1981-1982,绥化县,NA,绥化市,232301,+
1981-1982,"桦川县,桦南县,依兰县",232401,佳木斯市,NA,=
1981-1982,北安县,232622,北安市,NA,-
1981-1982,北安县,NA,北安市,232602,+
1981-1982,滁县,NA,滁州市,342301,+
1981-1982,滁县,342323,滁州市,NA,-
1981-1982,巢县,NA,巢湖市,342601,+
1981-1982,"广饶县,垦利县",NA,东营区,370502,+
1981-1982,"沾化县,利津县,垦利县",NA,河口区,370503,+
1981-1982,"广饶县,垦利县,博兴县",NA,牛庄区,370504,+
1981-1982,利津县,372326,"#,河口区",NA,-
1981-1982,垦利县,372332,"#,东营区,河口区,牛庄区",NA,-
1981-1982,泰安县,372621,泰安市,NA,-
1981-1982,泰安县,NA,泰安市,372601,+
1981-1982,新汶县,NA,新汶市,372602,+
1981-1982,新汶县,372628,新汶市,NA,-
1981-1982,"滨县,博兴县",NA,滨州市,372301,+
1981-1982,密县,NA,新密区,410107,+
1981-1982,"孟县,济源县",NA,吉利区,410306,+
1981-1982,"..,零陵县",NA,永州市,432901,+
1981-1982,"#,怀化县",NA,怀化市,433001,+
1981-1982,怀化县,433028,怀化市,NA,-
